part;val
acores_be;4.9
acores_cds;0
acores_ch;6.4
acores_il;2.8
acores_l;1.2
acores_pan;2.3
acores_pcp;2.8
acores_ps;41.6
acores_psd;34.2
aveiro_be;5.4
aveiro_cds;3.2
aveiro_ch;6.1
aveiro_il;3.8
aveiro_l;1
aveiro_pan;2.5
aveiro_pcp;3.1
aveiro_ps;36.1
aveiro_psd;35.2
beja_be;5.7
beja_cds;1.1
beja_ch;7.9
beja_il;1.2
beja_l;1
beja_pan;1.6
beja_pcp;20.8
beja_ps;41.4
beja_psd;15.4
braga_be;4.8
braga_cds;2.4
braga_ch;5.9
braga_il;3.1
braga_l;1
braga_pan;2.1
braga_pcp;3.6
braga_ps;38
braga_psd;35.3
brakanca_be;3.2
brakanca_cds;2.7
brakanca_ch;6.3
brakanca_il;2.2
brakanca_l;0.6
brakanca_pan;1.1
brakanca_pcp;2.3
brakanca_ps;36.3
brakanca_psd;41.8
castelo_b_be;6
castelo_b_cds;2
castelo_b_ch;7.1
castelo_b_il;2.3
castelo_b_l;1.3
castelo_b_pan;2
castelo_b_pcp;4.3
castelo_b_ps;43.2
castelo_b_psd;27.9
coimbra_be;6.2
coimbra_cds;2
coimbra_ch;6.2
coimbra_il;3
coimbra_l;1.3
coimbra_pan;2.3
coimbra_pcp;4.9
coimbra_ps;42
coimbra_psd;28.1
evora_be;5.5
evora_cds;1.6
evora_ch;9
evora_il;2.1
evora_l;1.1
evora_pan;1.6
evora_pcp;16.6
evora_ps;39.4
evora_psd;19.2
faro_be;6.9
faro_cds;2
faro_ch;9.5
faro_il;2.8
faro_l;1.4
faro_pan;4.3
faro_pcp;5.7
faro_ps;39
faro_psd;24.4
guarda_be;4.1
guarda_cds;2.8
guarda_ch;8.1
guarda_il;2.6
guarda_l;0.8
guarda_pan;1.3
guarda_pcp;2.8
guarda_ps;38.1
guarda_psd;35.8
leiria_be;5.3
leiria_cds;3
leiria_ch;8.5
leiria_il;3.6
leiria_l;1.2
leiria_pan;2.5
leiria_pcp;3.7
leiria_ps;32.8
leiria_psd;35.5
lisboa_be;6.6
lisboa_cds;2.1
lisboa_ch;8.3
lisboa_il;8.8
lisboa_l;2.4
lisboa_pan;3.5
lisboa_pcp;6.4
lisboa_ps;35.6
lisboa_psd;22.5
madeira_be;3.6
madeira_cds;0
madeira_ch;7.4
madeira_il;3.4
madeira_l;0.7
madeira_pan;2
madeira_pcp;2.1
madeira_ps;33.3
madeira_psd;41.9
portalegre_be;4.6
portalegre_cds;1.9
portalegre_ch;11
portalegre_il;1.7
portalegre_l;0.9
portalegre_pan;1.3
portalegre_pcp;7.9
portalegre_ps;44.3
portalegre_psd;22.6
porto_be;5.7
porto_cds;1.9
porto_ch;5.3
porto_il;5.4
porto_l;1.3
porto_pan;2.9
porto_pcp;4.2
porto_ps;38.2
porto_psd;31.4
santarem_be;5.7
santarem_cds;2.5
santarem_ch;9.5
santarem_il;2.9
santarem_l;1.2
santarem_pan;2.2
santarem_pcp;6
santarem_ps;38.8
santarem_psd;27.3
setubal_be;7.3
setubal_cds;1.4
setubal_ch;7.9
setubal_il;3.2
setubal_l;1.6
setubal_pan;3.7
setubal_pcp;13.7
setubal_ps;40.4
setubal_psd;16.6
viana_c_be;4.8
viana_c_cds;3.5
viana_c_ch;6.3
viana_c_il;2.7
viana_c_l;0.9
viana_c_pan;2
viana_c_pcp;3.5
viana_c_ps;36.7
viana_c_psd;35.8
vila_r_be;3.5
vila_r_cds;2.6
vila_r_ch;6.2
vila_r_il;2.2
vila_r_l;0.8
vila_r_pan;1.3
vila_r_pcp;2.6
vila_r_ps;37.3
vila_r_psd;39.9
viseu_be;4.2
viseu_cds;3.4
viseu_ch;6.9
viseu_il;2.7
viseu_l;0.8
viseu_pan;1.7
viseu_pcp;2.5
viseu_ps;36.3
viseu_psd;37.9
europa_be;6
europa_cds;2.4
europa_ch;11.1
europa_il;4.7
europa_l;1.8
europa_pan;6.5
europa_pcp;2.1
europa_ps;30
europa_psd;22.4
fora_be;4.2
fora_cds;3
fora_ch;9.9
fora_il;10.2
fora_l;1.2
fora_pan;5.1
fora_pcp;1.3
fora_ps;20.9
fora_psd;32.3
